usluga,tip,cena,grad,sira_lokacija,uza_lokacija,adresa,povrsina,plac,broj_soba,uknjizenost,grejanje,broj_etaza,stanje,godina_izgradnje,spratnost,lift,infrastruktura,parking,garaza,unutrasnje_prostorije,namestenost,opremljenost,useljivo,orijentacija_nekretnine,tip_objekta,tip_stana,tip_kuce,sifra_oglasa,opis,link,latitude,longitude,udaljenost_od_centra
prodaja,stan,86.000 €,Beograd,Zemun opština,Batajnica,ŽARKA BOKUNA,85m²,,3.5 sobe,uknjiženo,centralno grejanje,,,,1/2 sprata (nije poslednji sprat),,"podrum, terasa",,,,prazno,interfon,,,,,,225184,"ODLIČAN porodičan stan u mirnom delu naselja. Dupleks je renoviran, a sastoji se od velikog dnevnog boravka, trpezarije, zasebne kuhinje, ostave, terase i toaleta na prvoj etaži i na spratu dve komforne spavaće spavaće i jedna manja soba, kupatilo, hodnik sa ugradnim plakarom. Stan ima svoju garažu, podrum i deo dvorišta koji koristi. Agencijska provizija koju plaća kupac 2% uknjizen Jelena Radaković, licenca br.1735 011/6281677, 062/8860345 1/2 ŽARKA BOKUNA",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/zarka-bokuna/618ababb8bbc4550c80e8713,44.8972659,20.2888104,15.951805639649807
prodaja,stan,149.000 €,Beograd,Novi Beograd,Blok 38,BULEVAR ARSENIJA ČARNOJEVIĆA,90m²,,4 sobe,uknjiženo,centralno grejanje,,,,1/8 spratova (nije poslednji sprat),ima lift (1),"podrum, lođa",,,,prazno,"telefon, interfon",useljivo,,,,,658500,"Stan se nalazi na odličnoj, atraktivnoj lokaciji, u neposrednoj blizini škola, obdaništa i više linija gradskog prevoza. Dvostrano orijentisan. Stan je renoviran, nije potebno dodatno ulaganje. Po strukturi je 4.0, uknjižen na korisnu površinu 86m2, sa lođom ima 90m2. Agencijska provizija koju plaća kupac 2% uknjizen Sanja Eraković, licenca br. 3993 011/6281677, 069/1112053 1/8 BULEVAR ARSENIJA ČARNOJEVIĆA",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-arsenija-carnojevica/619643d8a626e23ff54b6343,44.8204753,20.4028505,4.289697385178361
prodaja,stan,61.800 €,Beograd,Novi Beograd,Ledine,STEVANA JAKOVLJEVIĆA,38m²,,1.5 soba,uknjiženo,etažno grejanje,,novo,,prizemlje/4 sprata (nije poslednji sprat),,,,,,prazno,interfon,,,,,,356686,"UKNJIŽEN 2.0 stan na odličnoj lokaciji na Ledinama, na 150m od autobuskog stajališta, prodavnica i apoteke. Kvalitetna naovogradnja, zgrada sa video nadzorom. Sastoji se od dnevne sobe sa kuhinjom i trpezarijom, spavaće sobe, kupatila, terase i hodnika iz koga se ulazi u sve prostorije. Agencijska provizija koju plaća kupac 2% uknjizen Durdevka Ilić, licenca br. 2808 011/6281677, 062/8860352 PR/4 STEVANA JAKOVLJEVIĆA",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/stevana-jakovljevica/61925d652ae218580e3bf9f3,44.7799,20.478073,4.540374417350192
prodaja,stan,115.000 €,Beograd,Čukarica opština,Čukarica,Požeška,47m²,,1.5 soba,uknjiženo,centralno grejanje,,,,7/8 spratova (nije poslednji sprat),ima lift (1),"podrum, terasa",,,kupatilo,prazno,"telefon, interfon",,,,,,41518,"Izvorno jednoiposoban stan, adaptiran u dvoiposoban. Dvostrano orjentisan. Stan se nalazi u blizini škole, vrtića, prevoza i pijace. Za svaku preporuku. PROSTORIJE: hodnik, dnevna soba + trpezarija, kuhinja, dve spavaće sobe, špaiz, kupatilo, dve terase.(agencijska provizija 2%)",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/pozeska/6180384d3fee5e109e59f6f3,44.773511,20.4138597,5.996472446468091
prodaja,stan,153.000 €,Beograd,Čukarica opština,Čukarica,Osiječka,72m²,,3 sobe,uknjiženo,grejanje na gas,,,,visoko prizemlje/2 sprata (nije poslednji sprat),,"podrum, terasa, lođa",1 parking mesto,,kupatilo,prazno,"telefon, kablovska, internet, interfon, klima",,,,,,41543,"U ponudi imamo očuvan i sređen stan u mirnoj ulici na Banovom brdu. Stan je trostrano orjentisan, u visokom prizemlju koje je skoro u visini prvog sprata. PROSTORIJE: hodnik, kuhinja sa trpezarijom, dnevna soba, dve spavaće sobe, dve terase. U neposrednoj blizini su osnovna škola, park, dečije igralište, prodavnice i svi infrastrukturni objekti neophodni za udoban i komforan svakodnevni život.(agencijska provizija 2%)",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/osijecka/618ac49cb0082020030606c3,44.7734948,20.4123589,6.066268308456639
prodaja,stan,86.000 €,Beograd,Zemun opština,Zemun,Milana Uzelca,58m²,,2 sobe,uknjiženo,etažno grejanje,,,,2/4 sprata (nije poslednji sprat),,,,,kupatilo,prazno,telefon,,,,,,113897,"Adaptibilan u 2.5, ima 2 terase, dvostran, izvoran. Odlična lokacija. Uknjižen.PROSTORIJE:kuhinja, dnevna soba, 2 spavaće sobe, hodnik, kupatilo, 2 terase. agencijska provizija 2%",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/milana-uzelca/6197f7769730ee2d041dcaf3,44.8406503,20.3906334,5.8233180930554855
prodaja,stan,139.000 €,Beograd,Novi Beograd,Blok 45,Jurija Gagarina,72m²,,3 sobe,uknjiženo,centralno grejanje,,uobičajeno stanje,,1/15 spratova (nije poslednji sprat),ima lift (1),"podrum, lođa",,,,prazno,"telefon, kablovska, internet, interfon, klima",,,,,,16701,"U središnjem delu bloka 45, svetao, dvostran, na I/XV spratova, nalazi se ovaj po strukturi trosoban stan, ali adaptiran u dvosoban (ima jednu spavaću sobu, druga je pripojena dnevnom boravku, može da se vrati na staro).Od samog ulaza u stan se vidi da je nekada sređivan sa puno ljubavi i detalja uobičajenih za to vreme.U stanu se ističu: blind vrata, spušteni plafoni sa rasvetom i gipsanim radovima, pvc stolarija, hrastov parket (klasičan).Brzo useljiv, UKNJIŽEN... Agencijska provizija 2% ,",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jurija-gagarina/619253fb66e7f07a7a046093,44.7990771,20.3764595,6.703099944683711
prodaja,stan,49.000 €,Beograd,Čukarica opština,Čukarica,Milorada Popovića,69m²,,3 sobe,,grejanje na struju,,uobičajeno stanje,1960. godine,3/3 sprata,,podrum,1 parking mesto,,,,telefon,,,,,,1966,"Čukarica, Železnik - Milorada Popovića 3.0, 69m2 + terasa 29m2, TA, 3/3, parking, podrum, telefon.Trosoban stan na odličnoj lokaciji u Železniku, blizu pijace i autobuskih stajališta. Potrebna izvesna ulaganja.Prostorije : Dnevna soba, kuhinja, dve spavaće sobe i velika terasa sa lepim pogledom na naselje.Agent: Violeta Gašparević 062/270-945Agencijska provizija je 2% i uključuje:- pokazivanje nekretnine i informacije vezane za mikrolokaciju- pravnu sigurnost uz tim advokata pri izradi Predugovora i Ugovora, overu kod Javnog beležnika (troškove overe kod notara plaća kupac)- odjavu prodavca - prijavu kupca (porez na prenos apsolutnih prava i porez na imovinu, infostan, struja, telefon, kablovska)",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/milorada-popovica/619e69ea2a96904d682b7853,44.7278119,20.373081,12.012409359592759
prodaja,stan,92.000 €,Beograd,Novi Beograd,Blok 1 - Fontana,Otona Župančića,40m²,,1.5 soba,uknjiženo,centralno grejanje,,uobičajeno stanje,,11/13 spratova (nije poslednji sprat),ima lift (1),,,,,prazno,"kablovska, internet",useljivo,,,,,47222,"U mirnom delu Novog Beograda u blizini Fontane u prilici smo da ponudimo ovaj 1.5 soban stan u održavanoj zgradi sa dva lifta. Stan je uknjižen 1/1 i ima 40 m2. Ovaj stan čine velika dnevna soba i odvojena spavaća soba, odvojena kuhinja sa trpezarijom i kupatilo. Stan je u održavanom izvornom stanju sa parketom koji je ishoblovan. Lokacija je odlična, blizina velikog broja objekata za svakodnevnu namenu, veliki broj autobuskih stajišta i blizina keja na 10 minuta hoda čine ovaj stan odličnim izborom za svakog ko voli mir u centru Novog Beograda. Za svaku preporuku! Agencijska provizija 2%.  ID oglasa: 47222.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/otona-zupancica/619b61658560d2103c20c79d,44.8334882,20.4072414,4.297332714165572
prodaja,stan,225.000 €,Beograd,Zvezdara opština,Mirijevo,Bogdana Bogdanovića,208m²,,5 soba,uknjiženo,etažno grejanje,,novo,,6/6 spratova,ima lift (1),terasa,,,,prazno,"telefon, kablovska, internet, klima",useljivo,,,,,17059,"Ekskluzivan stan u novogradnji, veoma luksuzan i prostran penthouse, vrlo kvalitetna oprema: italijanska keramika, Tarkett hrastov parket, Bosal ulazna vrata, sedam klima uređaja.Stan je veoma komforan, a sastoji se od dnevnog boravka sa kuhinjom i trpezarijom, četiri spavaće sobe i tri kupatila, tri terase, ostavom sa dva odvojena kotla za grejanje. Parking mesto uračunato u cenu. Uknjižen. Preporuka! Ag. prov 2% ID oglasa: 17059.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bogdana-bogdanovica/619fcadf868ab4391b0ada76,44.7852577,20.5445818,7.82352986851415
prodaja,stan,320.000 €,Beograd,Zvezdara opština,Lion,Đevđelijska,160m²,,5 soba,uknjiženo,centralno grejanje,,novo,,5/6 spratova (nije poslednji sprat),ima lift (1),terasa,,,,namešteno,"telefon, kablovska, internet, klima",useljivo,,,,,9574,"Kompletno vrhunski opremljen duplex, na prvom nivou dnevni boravak sa trpezarijom okvirno 60m2, kuhinja, mala spavaća soba i kupatilo sa tuš kabinom, a na drugom dve spavaće sobe, soba garderober i kupatilo sa đakuzijem, dve telefonske linije, lep pogled, velika zastakljena terasa od 21m2, video nadzor, alarm, tri klime, uknjižen, za svaku preporuku. Ag. prov 2% ID oglasa: 9574.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/djevdjelijska/61895320aa1470682b019283,44.7994973,20.4925496,3.479047970110821
prodaja,stan,344.430 €,Beograd,Novi Beograd,Blok 11,Gramšijeva,115m²,,5 soba,uknjiženo,centralno grejanje,,novo,,1/5 spratova (nije poslednji sprat),ima lift (1),terasa,,1 garažno mesto,,prazno,"telefon, kablovska, internet",useljivo,,,,,16990,"Izuzetna gradnja, vrhunski kvalitet radova i materijala, deluxe gradnja, komforan, funkcionalan stan, četiri spavaće sobe, dva kupatila i toalet, vešeraj, terasa, cg po utrošku, garažno mesto uz doplatu od 1.400e/m2, u cenu je uračunat pdv, odlična investicija. Ag. prov 2% ID oglasa: 16990.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/gramsijeva/618a5e2fe3fcdb4cee76ac51,44.8322055,20.4149538,3.683555144327139
prodaja,stan,55.000 €,Beograd,Zemun opština,Batajnica,Kralja Vladislava,66m²,,2.5 sobe,uknjiženo,centralno grejanje,,uobičajeno stanje,,1/2 sprata (nije poslednji sprat),,"podrum, terasa",1 parking mesto,,,namešteno,,useljivo,,,,,102374330,"Agencijski ID: 74330, I/II, terasa, uknjižen, izvorno stanje, ulaz dobar, stara gradnja, fasada dobra, parking, dvorište/bašta, podrum, stambena zgrada. komplet renovirano kupatilo, uradjena unutrasnja izolacija, nova stolarija, dupleks 21+45 kvm + terasa oko 6 kvm, uknjizeno kao dva stana. Goran. Više informacija na: www.beocitynekretnine.rs Agencijska provizija 2%. Telefoni: 060/555-3901 • 060/555-2146 • 011/408-5754. Kontakt van radnog vremena: info@beocitynekretnine.rs",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kralja-vladislava/61709e550cc2f64a950493c6,44.898145,20.2809038,16.528564259257056
prodaja,stan,118.000 €,Beograd,Novi Beograd,Blok 1 - Fontana,Narodnih heroja,65m²,,2.5 sobe,,centralno grejanje,,,,4/4 sprata,,,,,kupatilo,prazno,telefon,,,,,,112895,"Stan na 4 spratu od 4, bez lifta. 2.5 po strukturi na odličnoj lokaciji - škola, vrtić i marketi. Dvostrano orijentisan. Veliki dnevni boravak gde se izlazi na veliku terasu, dve sobe, odvojena kuhinja gde se izlazi na lođu, kupatilo sa prirodnom ventilacijom, pripadajući podrum. Pvc stolarija. Odlična lokacija. PROSTORIJE: predsoblje, dnevni boravak, terasa, soba, soba, kuhinja, lođa, kupatilo. agencijska provizija 2%",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/narodnih-heroja/613b63d4c59bcd4f4317eb63,44.8211883,20.4043572,4.176975645429803
prodaja,stan,130.000 €,Beograd,Zvezdara opština,Cvetkova Pijaca,Vladimira Gortana,74m²,,3.5 sobe,uknjiženo,centralno grejanje,,novo,,5/5 spratova,ima lift (1),terasa,,,kupatilo,prazno,interfon,,,,,,4415,"LUX uknjizen stan, novogradnja tik ispod Bulevara, u kvalitetnoj zgradi, izvorno trosoban, adaptiran u troiposoban, sa dve terase, jednom velikom iz dnevnog boravka, i drugom iz jedne spavace sobe, dvostrano orijentisan, dva mokra cvora, u stanu ostaje ugradna kuhinja kao i ugradni plakari u predsoblju i sobama, visina plafona 2.80, iznad je kosi krov, zgrada poseduje lift, odlicna gradska lokacija.Agent Branislava                                              Kupac plaća proviziju 2%",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vladimira-gortana/617bdff572a64921667b9204,44.7865433,20.5154074,5.789392288235567
prodaja,stan,180.000 €,Beograd,Stari Grad opština,Beograd centar,Dositejeva,62m²,,2 sobe,uknjiženo,etažno grejanje,,uobičajeno stanje,,1/4 sprata (nije poslednji sprat),ima lift (1),,,,kupatilo,prazno,"telefon, interfon, klima",useljivo,,,,,1170,"U lepom delu Dorćola, u Dositejevoj ulici, nalazi se ova nekretnina koju vredi pogledati. Zgrada okružena zelenilom. Fasada zgrade je uredna, mermerni ulaz. Stan renoviran, kompletno sređen, prodaje se namešten i odmah useljiv.Stan je svetao, odličnog rasporeda, visina plafona 3,20m. Kuhinja ima prirodnu ventilaciju. U stanu je etažno grejanje. Centralno grejanje do vrata stana, moguće je uvesti.Prostorije: hodnik, kuhinja, trpezarija, dnevni boravak, kupatilo, spavaća soba, garderober.Stan je dvostrano orijentisan. Odličan za rentiranje. Udaljenost of Trga Republike 5 minuta.U blizini stana se nalaze svi infrastrukturni objekti koji pružaju uslove za miran i udoban život.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dositejeva/611cf07fd23250417d3f0678,44.8217166,20.4672689,0.919179918821867
prodaja,stan,195.000 €,Beograd,Zemun opština,Zemun,Prve pruge,74m²,,2.5 sobe,uknjiženo,centralno grejanje,,,,1/4 sprata (nije poslednji sprat),ima lift (1),podrum,1 parking mesto,,kupatila (2),prazno,telefon,,,,,,112061,"Lux, bez ulaganja, lepa terasa, blizu Dunavskog kreja, Maxija i prevoza, uknjižen. Prostorije; dnevna soba, kuhinja sa trpezarijom, dve spavaće sobe, dva mokra čvora. Kupatilo, posebni gostinjski wc, hodnik, podrum, parking. agencijska provizija 2%",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/prve-pruge/616d9a98c4e610312e726ce8,44.8341982,20.4161151,3.704032955657715
prodaja,stan,450.000 €,Beograd,Novi Beograd,A Blok - Blok 67a,Jurija Gagarina,139m²,,4 sobe,uknjiženo,centralno grejanje,,novo,,11/9 spratova (nije poslednji sprat),ima lift (1),terasa,,1 garažno mesto,,namešteno,"telefon, kablovska, internet, klima",useljivo,,,,,15967,"Deluxe, jako lepo i kvalitetno sređen i opremljen stan u A bloku, penthouse, izuzetno komforan, svetao, izvorno 4.0 i lako se može vratiti u izvornu strukturu, trenutno ima dve spavaće sobe od kojih je jedna soba master sa sopstvenim kupatilom, dodatno kupatilo, dve terase, dvostrano orijentisan sa pogledom ka ulici i naselju, jugo-zapad, cg po utrošku, podno grejanje u kupatilu, zgrada ima recepciju, obezbeđenje i video nadzor. Uz stan se prodaju i dva garažna mesta po ceni od 35.000e. Uknjižen. Ag. prov 2% ID oglasa: 15967.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jurija-gagarina/61617f399dc10e7f67374163,44.7990771,20.3764595,6.703099944683711
prodaja,stan,174.000 €,Beograd,Zvezdara opština,Đeram,Živojina Žujovića,71m²,,3 sobe,uknjiženo,centralno grejanje,,novo,,prizemlje/3 sprata (nije poslednji sprat),ima lift (1),terasa,,1 garažno mesto,,polunamešteno,"telefon, kablovska, internet, klima",useljivo,,,,,16725,"Lux novogradnja, smart zgrada, useljena 2016. godine, moderan enterijer, dve spavaće sobe, kupatilo, dvorište površine 45m2, cg po potrošnji, podno grejanje (smart sistem kontrolisanje grejanja putem aplikacije), paljenje i gašenje struje putem kartice, led rasveta, alarm, video nadzor ispred stana i kompletnog dvorista, mogućnost kupovine garažnog mesta po ceni od 15.000e. Uknjižen. Preporuka. AG prov 2% ID oglasa: 16725.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/zivojina-zujovica/613209312267ba312c54cb53,44.8023271,20.4929498,3.3310403768950017
prodaja,stan,319.900 €,Beograd,Novi Beograd,A Blok - Blok 67a,Uroša Martinovića,127m²,,3 sobe,uknjiženo,centralno grejanje,,novo,,6/6 spratova,ima lift (1),terasa,,1 garažno mesto,,polunamešteno,"telefon, kablovska, internet, klima",useljivo,,,,,16565,"Izuzetan stan u II fazi A bloka, dvostrano orijentisan, odlično pozicioniran. Stan je uknjižen na 85m2, od čega je 75m2 grejne površine i 10m2 terase. Veoma je komforan i funkcionalan, a sastoji se od dnevno-trpezarijskog dela, kuhinje odvojene šankom, dve spavaće sobe, dva kupatila. Prodaje se opremljen svim ugradnim elementima, kuhinja je kompletno opremljena Bosch tehnikom, u stanu ostaju zidne obloge, ugrađena je rasveta, komarnici na svim prozorima i tende na terasi. Stan ima 75m2 grejne površine i 52m2 terasa. uz mogućnost kupovine i dodatnog nameštaja uz doplatu. Cg po utrošku, zgrada sa video nadzorom, uređeno naselje. Uz stan se prodaje i garažno mesto po ceni od 19.000e. Uknjižen. Ag. prov 2% ID oglasa: 16565.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/urosa-martinovica/60fc500e57be2417bf6dff63,44.8063226,20.4036552,4.408607538033858
prodaja,stan,750.000 €,Beograd,Savski Venac,Dedinje,Dedinje,187m²,,5 soba,uknjiženo,grejanje na struju,,,,1. sprat,ima lift (1),terase (2),,"2 garažna mesta, u sklopu zgrade","kupatila (3), toaleti (2)",,,,,,,,,"DEDINJE PANORAMA Lux ,  prelep svetao  stan u ekskluzivnom delu   Dedinja .Ko želi  mir i privatnost ovo je  jedinstvena prilika.Petosoban   stan za svaku preporuku.  Tri kupatila , dva toaleta , dve ostave  i dva garažna mesta.Stan se trenutno koristi kao poslovni prostor.Agencijska provizija u skladu sa opštim uslovima poslovanja. Agencija Century 66 RStel.0692441815",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dedinje/619f8d95c82eae12c500dd9c,44.7752073,20.4592289,4.746896253262174
